title,link,votes,comments
AWS CEO says using AI to replace junior staff is 'Dumbest thing I've ever heard',https://www.theregister.com/2025/08/21/aws_ceo_entry_level_jobs_opinion/,1590,713
Mark Zuckerberg freezes AI hiring amid bubble fears,https://www.telegraph.co.uk/business/2025/08/21/zuckerberg-freezes-ai-hiring-amid-bubble-fears/,768,854
DeepSeek-v3.1,https://api-docs.deepseek.com/news/news250821,716,247
AI tooling must be disclosed for contributions,https://github.com/ghostty-org/ghostty/pull/8289,690,425
FFmpeg 8.0,https://ffmpeg.org/index.html#pr8.0,490,139
Go is still not good,https://blog.habets.se/2025/07/Go-is-still-not-good.html,477,600
Weaponizing image scaling against production AI systems,https://blog.trailofbits.com/2025/08/21/weaponizing-image-scaling-against-production-ai-systems/,470,131
An interactive guide to SVG paths,https://www.joshwcomeau.com/svg/interactive-guide-to-paths/,426,41
"Io_uring, kTLS and Rust for zero syscall HTTPS server",https://blog.habets.se/2025/04/io-uring-ktls-and-rust-for-zero-syscall-https-server.html,417,124
Waymo granted permit to begin testing in New York City,https://www.cnbc.com/2025/08/22/waymo-permit-new-york-city-nyc-rides.html,340,279
Code formatting comes to uv experimentally,https://pydevtools.com/blog/uv-format-code-formatting-comes-to-uv-experimentally/,336,237
"4chan will refuse to pay daily online safety fines, lawyer tells BBC",https://www.bbc.co.uk/news/articles/cq68j5g2nr1o,303,325
How well does the money laundering control system work?,https://www.journals.uchicago.edu/doi/10.1086/735665,277,341
All managers make mistakes; good managers acknowledge and repair,https://terriblesoftware.org/2025/08/22/the-management-skill-nobody-talks-about/,253,112
Control shopping cart wheels with your phone (2021),https://www.begaydocrime.com/,250,114
Crimes with Python's Pattern Matching (2022),https://www.hillelwayne.com/post/python-abc/,240,105
How does the US use water?,https://www.construction-physics.com/p/how-does-the-us-use-water,229,175
Beyond sensor data: Foundation models of behavioral data from wearables,https://arxiv.org/abs/2507.00191,226,49
Everything is correlated (2014–23),https://gwern.net/everything,221,103
My other email client is a daemon,https://feyor.sh/blog/my-other-email-client-is-a-mail-daemon/,185,26
Building AI products in the probabilistic era,https://giansegato.com/essays/probabilistic-era,178,100
Privately-Owned Rail Cars,https://www.amtrak.com/privately-owned-rail-cars,173,274
How Not to Buy a SSD,https://andrei.xyz/post/how-not-to-buy-a-ssd/,158,148
VHS-C: When a lazy idea stumbles towards perfection [video],https://www.youtube.com/watch?v=HFYWHeBhYbM,157,87
"LabPlot: Free, open source and cross-platform Data Visualization and Analysis",https://labplot.org/,152,26
"Miles from the ocean, there's diving beneath the streets of Budapest",https://www.cnn.com/2025/08/18/travel/budapest-diving-molnar-janos-cave,138,41
Being “Confidently Wrong” is holding AI back,https://promptql.io/blog/being-confidently-wrong-is-holding-ai-back,138,216
Elegant mathematics bending the future of design,https://actu.epfl.ch/news/elegant-mathematics-bending-the-future-of-design/,137,16
"It’s not wrong that ""\u{1F926}\u{1F3FC}\u200D\u2642\uFE0F"".length == 7 (2019)",https://hsivonen.fi/string-length/,123,173
From GPT-4 to GPT-5: Measuring progress through MedHELM [pdf],https://www.fertrevino.com/docs/gpt5_medhelm.pdf,123,91
